latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
26.045692,119.24508,3.0,28800,Asia/Singapore,GMT+8

time,temperature_2m (°C),relative_humidity_2m (%),apparent_temperature (°C),precipitation (mm),weather_code (wmo code),cloud_cover (%),wind_speed_10m (km/h),wind_direction_10m (°),shortwave_radiation (W/m²),is_day ()
2024-01-01T00:00,12.9,71,11.2,0.00,3,100,8.1,58,0.0,0
2024-01-01T01:00,12.2,72,10.5,0.00,3,93,7.0,55,0.0,0
2024-01-01T02:00,11.8,69,10.0,0.00,3,100,5.7,55,0.0,0
2024-01-01T03:00,10.7,70,9.0,0.00,3,100,4.1,52,0.0,0
2024-01-01T04:00,10.1,72,8.5,0.00,2,65,3.6,53,0.0,0
2024-01-01T05:00,8.8,79,6.9,0.00,0,5,5.5,67,0.0,0
2024-01-01T06:00,8.8,76,6.9,0.00,0,2,4.8,77,0.0,0
2024-01-01T07:00,8.8,76,6.9,0.00,0,6,4.4,81,0.0,1
2024-01-01T08:00,9.4,74,7.6,0.00,0,8,4.0,85,77.0,1
2024-01-01T09:00,10.9,66,8.8,0.00,0,7,6.3,77,252.0,1
2024-01-01T10:00,12.1,61,10.0,0.00,0,11,6.1,87,417.0,1
2024-01-01T11:00,13.4,57,11.0,0.00,0,9,7.6,93,555.0,1
2024-01-01T12:00,14.4,53,12.3,0.00,0,13,9.4,97,633.0,1
2024-01-01T13:00,14.8,51,12.1,0.00,0,12,12.0,99,618.0,1
2024-01-01T14:00,14.7,49,11.5,0.00,0,15,13.2,101,577.0,1
2024-01-01T15:00,14.0,50,10.6,0.00,0,4,12.8,100,445.0,1
2024-01-01T16:00,12.9,55,9.8,0.00,0,0,11.4,103,291.0,1
2024-01-01T17:00,11.4,64,8.9,0.00,0,0,8.6,105,110.0,1
2024-01-01T18:00,9.7,76,8.0,0.00,0,0,4.6,108,4.0,0
2024-01-01T19:00,8.8,80,6.9,0.00,0,0,5.5,101,0.0,0
2024-01-01T20:00,9.9,73,8.3,0.00,0,2,2.8,50,0.0,0
2024-01-01T21:00,10.4,73,9.1,0.00,0,2,2.1,31,0.0,0
2024-01-01T22:00,10.1,76,8.7,0.00,0,3,2.4,27,0.0,0
2024-01-01T23:00,9.6,81,8.3,0.00,0,4,2.2,9,0.0,0
2024-01-02T00:00,8.7,88,7.5,0.00,0,11,2.6,344,0.0,0
2024-01-02T01:00,7.0,99,5.6,0.00,0,17,4.1,322,0.0,0
2024-01-02T02:00,5.9,100,3.9,0.00,3,97,6.4,317,0.0,0
2024-01-02T03:00,5.2,100,3.0,0.00,1,21,7.1,311,0.0,0
2024-01-02T04:00,4.8,99,2.6,0.00,0,15,6.9,309,0.0,0
2024-01-02T05:00,4.9,95,2.5,0.00,0,6,6.9,309,0.0,0
2024-01-02T06:00,6.2,93,4.1,0.00,0,2,6.3,301,0.0,0
2024-01-02T07:00,5.3,94,3.0,0.00,0,1,7.2,297,0.0,1
2024-01-02T08:00,8.5,85,6.8,0.00,0,1,5.3,298,77.0,1
2024-01-02T09:00,10.8,74,9.1,0.00,0,14,4.6,309,240.0,1
2024-01-02T10:00,13.5,63,12.2,0.00,0,0,3.1,315,421.0,1
2024-01-02T11:00,15.4,58,14.6,0.00,0,0,1.5,45,562.0,1
